Query Number,LDF Time (ms),ZZ Time (ms),Soundness,ZZ Timeouts
10174,96101,7944544,true,0
10175,48566,93472,true,0
10176,248,91,true,0
10177,914,98,true,0
10179,192,3863084,true,0
1017,1892,397,true,0
10180,16853,8894,true,0
10181,315,1637704,true,0
10182,20096,4444,true,0
10183,2857,158,true,0
10184,309,3850525,true,0
10185,367,518030,true,0
10186,841,119,true,0
10187,32079,2159881,true,0
10188,21678,11603,true,0
1018,61542,2481703,true,0
10190,1263,177,true,0
10191,211020,96552,true,0
10192,185,133464,true,0
10193,139,2175,true,0
10195,21120,11002,true,0
10196,14822,10246,true,0
10199,309,437,true,0
101,4260,778749,true,0
10200,2057,776538,true,0
10201,185,78,true,0
10203,3556,289,true,0
10205,3664,3282,true,0
10209,9349,1010,true,0
1020,23655,40252,true,0
10210,200,523,true,0
10211,110055,91793,true,0
10212,34410,1320388,true,0
10213,50578,46245,true,0
